N_cells,duration_sec,L2_error_p,L2_error_v,Linf_error_p,Linf_error_v
100,0.6480848789215088,0.0005463139386847615,0.0005462396657094359,0.0024868547916412354,0.0024867355823516846
200,1.0556492805480957,0.00025721662677824497,0.00025720198755152524,0.0011383891105651855,0.0011382699012756348
400,2.4101409912109375,0.00015859537234064192,0.00015859201084822416,0.0005090832710266113,0.0005090534687042236
800,7.512173175811768,9.051625966094434e-05,9.054238762473688e-05,0.0002802908420562744,0.0002804100513458252
