N_cells,T,duration_sec,L2_error_p,L2_error_v,Linf_error_p,Linf_error_v
100,0.5,0.2333998680114746,0.0003755072830244899,0.0003570208209566772,0.001120993634685874,0.0011043311096727848
200,0.5,0.24816441535949707,8.362607331946492e-05,8.357647311640903e-05,0.00028325605671852827,0.0002833930775523186
400,0.5,0.24159860610961914,1.718699604680296e-05,1.718963721941691e-05,6.043422035872936e-05,6.0402555391192436e-05
800,0.5,0.2356555461883545,3.5432478853181237e-06,3.5469870454107877e-06,1.2046657502651215e-05,1.2086005881428719e-05
